title,star,director,actor,date,img_src
모리타니안,8.72,캐빈 맥도널드,"베네딕트 컴버배치, 조디 포스터, 쉐일린 우들리, 타하르 라힘",2021.03.17,https://movie-phinf.pstatic.net/20210312_98/1615526859257m3Xyo_JPEG/movie_image.jpg?type=m99_141_2
불한당: 나쁜 놈들의 세상,6.43,변성현,"설경구, 임시완",2017.05.17,https://movie-phinf.pstatic.net/20170517_137/1494988360843qAvzP_JPEG/movie_image.jpg?type=m99_141_2
해피 투게더,9.20,왕가위,"장국영, 양조위, 장첸",2021.02.04,https://movie-phinf.pstatic.net/20210111_41/1610333478672K6ihS_JPEG/movie_image.jpg?type=m99_141_2
화양연화,8.78,왕가위,"장만옥, 양조위",2020.12.24,https://movie-phinf.pstatic.net/20201028_19/1603867994616GALu9_JPEG/movie_image.jpg?type=m99_141_2
날씨의 아이,7.95,신카이 마코토,"심규혁, 김유림, 최한, 강은애, 이장원, 손정아, 다이고 코타로, 모리 나나, 오구리 슌, 혼다 츠바사, 히라이즈미 세이",2020.05.21,https://movie-phinf.pstatic.net/20200515_153/1589521029136pyDNk_JPEG/movie_image.jpg?type=m99_141_2
카오스 워킹,6.30,더그 라이만,"톰 홀랜드, 데이지 리들리, 매즈 미켈슨",2021.02.24,https://movie-phinf.pstatic.net/20210225_97/1614231870410l8bUS_JPEG/movie_image.jpg?type=m99_141_2
반지의 제왕: 두 개의 탑,9.35,피터 잭슨,"일라이저 우드, 이안 맥켈런, 비고 모텐슨",2021.03.18,https://movie-phinf.pstatic.net/20210311_91/16154244436748I97J_JPEG/movie_image.jpg?type=m99_141_2
반지의 제왕: 왕의 귀환,9.38,피터 잭슨,"일라이저 우드, 숀 애스틴, 앤디 서키스, 이안 맥켈런, 리브 타일러, 비고 모텐슨, 올랜도 블룸, 존 라이스 데이비스, 빌리 보이드, 도미닉 모나한, 버나드 힐, 미란다 오토",2021.03.18,https://movie-phinf.pstatic.net/20210311_228/1615424566975JRkQp_JPEG/movie_image.jpg?type=m99_141_2
랜드,9.35,로빈 라이트,로빈 라이트,2021.03.17,https://movie-phinf.pstatic.net/20210224_126/1614147665518jKpE0_JPEG/movie_image.jpg?type=m99_141_2
극장판 바이올렛 에버가든,9.48,이시다테 타이치,"이시카와 유이, 나미카와 다이스케",2020.11.12,https://movie-phinf.pstatic.net/20201015_24/1602727813929ObxtV_JPEG/movie_image.jpg?type=m99_141_2
라라의 신비한 모험,8.00,리스 오스볼,"김소희, 허성재, 김성화, 김용",2021.03.18,https://movie-phinf.pstatic.net/20210303_134/1614738716985lnl4t_JPEG/movie_image.jpg?type=m99_141_2
해변의 에트랑제,8.36,오오하시 아키요,"무라타 타이시, 마츠오카 요시츠구, 시마무라 유우, 이토 카나에",2021.02.18,https://movie-phinf.pstatic.net/20210125_20/1611551696077lGGQ8_JPEG/movie_image.jpg?type=m99_141_2
노가리,9.31,박민국,"박민국, 서진원, 김은재, 최현신, 임지호, 김우건, 조건호, 정의욱",2021.03.31,https://movie-phinf.pstatic.net/20210324_82/16165463994993eYsF_JPEG/movie_image.jpg?type=m99_141_2
와일드 마운틴 타임,7.52,존 패트릭 샌리,"에밀리 블런트, 제이미 도넌, 존 햄, 크리스토퍼 월켄",2021.03.24,https://movie-phinf.pstatic.net/20210303_164/1614751855308gqHoY_JPEG/movie_image.jpg?type=m99_141_2
아틱,8.30,조 페나,"매즈 미켈슨, 마리아 델마 스마라도티르",2021.04.01,https://movie-phinf.pstatic.net/20210318_258/1616035627017QhuyS_JPEG/movie_image.jpg?type=m99_141_2
아일로,9.36,기욤 미다체프스키,None,2021.03.18,https://movie-phinf.pstatic.net/20210308_189/1615186121315N5aq5_JPEG/movie_image.jpg?type=m99_141_2
"힘내세요, 병헌씨",8.53,이병헌,"조향기, 홍완표, 양현민, 허준석, 김영현",2013.06.27,https://movie-phinf.pstatic.net/20130603_290/1370228109944RKPX2_JPEG/movie_image.jpg?type=m99_141_2
암모나이트,8.18,프란시스 리,"시얼샤 로넌, 케이트 윈슬렛",2021.03.11,https://movie-phinf.pstatic.net/20210223_152/16140611130096PApJ_JPEG/movie_image.jpg?type=m99_141_2
싱크로닉,6.62,아론 무어헤드,"안소니 마키, 제이미 도넌",2021.04.01,https://movie-phinf.pstatic.net/20210322_194/1616394886763SVgGg_JPEG/movie_image.jpg?type=m99_141_2
반지의 제왕: 반지 원정대,9.29,피터 잭슨,"일라이저 우드, 이안 맥켈런, 리브 타일러, 비고 모텐슨, 숀 애스틴, 케이트 블란쳇",2021.03.11,https://movie-phinf.pstatic.net/20210308_290/16151786976685f4Mv_JPEG/movie_image.jpg?type=m99_141_2
턴: 더 스트릿,9.28,임석진,"김승훈, 홍은기, 최연청, 이유진, 오명교, 권혁진, 양치승",2021.03.31,https://movie-phinf.pstatic.net/20210308_204/16151690232671pLCj_JPEG/movie_image.jpg?type=m99_141_2
낙엽귀근,9.22,장양,"곽도, 자오번산",2021.04.01,https://movie-phinf.pstatic.net/20210302_166/1614666227601XrkTt_JPEG/movie_image.jpg?type=m99_141_2
117편의 러브레터,8.91,페트르 가르도스,"밀란 쉬러프, 에모크 피티, 안나 아즈카라테, 길라 알마고",2021.03.18,https://movie-phinf.pstatic.net/20210302_206/1614663012921ti8Yu_JPEG/movie_image.jpg?type=m99_141_2
아이 빌리브,8.77,절젼 페렛스키,"로완 스미스, 맷 린드퀴스트, 윌포드 브림리",2020.11.05,https://movie-phinf.pstatic.net/20201022_271/1603334316864GIFQv_JPEG/movie_image.jpg?type=m99_141_2
